v8-version,5,1,281,101,0
code-creation,Stub,3,0x22b1b552abc0,1187,"FastNewContextStub"
code-creation,Stub,15,0x22b1b552b080,447,"BinaryOpICStub"
tick,0x7f0951beb6fd,27463,0,0x0,4
tick,0x7f0951b627a0,27497,0,0x0,4
code-creation,Handler,4,0x22b1b552b240,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b552b2c0,224,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b552b3a0,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b552b420,972,"NameDictionaryLookupStub"
code-creation,Stub,3,0x22b1b552b800,2205,"FastArrayPushStub"
code-creation,Stub,3,0x22b1b552c0a0,2360,"RecordWriteStub"
code-creation,Handler,4,0x22b1b552c9e0,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b552ca60,743,"FastNewContextStub"
code-creation,Handler,4,0x22b1b552cd60,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b552ce60,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b552cee0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b552cf60,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b552d060,483,"FastNewObjectStub"
code-creation,Handler,4,0x22b1b552d260,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b552d2e0,212,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b552d3c0,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b552d440,332,"BinaryOpICStub"
code-creation,Stub,16,0x22b1b552d5a0,194,"CompareICStub"
code-creation,Stub,3,0x22b1b552d680,391,"FastNewContextStub"
code-creation,Stub,3,0x22b1b552d820,652,"TypeofStub"
code-creation,Stub,15,0x22b1b552dac0,284,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552dbe0,212,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552dcc0,320,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552de00,224,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552dee0,151,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552df80,224,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552e060,276,"BinaryOpICStub"
code-creation,StoreIC,13,0x22b1b552e180,528,"A store IC from the snapshot"
code-creation,Stub,15,0x22b1b552e3a0,204,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b552e480,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b552e500,467,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552e6e0,224,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552e7c0,415,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b552e960,116,"StubFailureTrampolineStub"
code-creation,Stub,3,0x22b1b552e9e0,475,"FastNewContextStub"
code-creation,Handler,4,0x22b1b552ebc0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b552ec40,332,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552eda0,419,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b552ef60,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b552efe0,204,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b552f0c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b552f140,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b552f1c0,2418,"RecordWriteStub"
code-creation,Stub,16,0x22b1b552fb40,213,"CompareICStub"
code-creation,Handler,4,0x22b1b552fc20,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b552fca0,379,"FastNewContextStub"
code-creation,Stub,15,0x22b1b552fe20,151,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b552fec0,276,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b552ffe0,791,"FastNewClosureStub"
code-creation,Stub,16,0x22b1b5530300,172,"CompareICStub"
code-creation,Handler,4,0x22b1b55303c0,120,"An IC handler from the snapshot"
