v8-version,5,1,281,101,0
code-creation,CallIC,12,0x3742f90306e0,113,"A call IC from the snapshot"
code-creation,KeyedStoreIC,14,0x3742f9030760,422,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,14,0x3742f9030920,3484,"A keyed store IC from the snapshot"
code-creation,Stub,3,0x3742f90316c0,156,"ToStringStub"
code-creation,Stub,15,0x3742f9031760,320,"BinaryOpICStub"
code-creation,Stub,15,0x3742f90318a0,224,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9031980,204,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9031a60,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3742f9031ae0,113,"A call IC from the snapshot"
code-creation,Stub,15,0x3742f9031b60,204,"BinaryOpICStub"
