Statistical profiling result from isolate-0x2fb4260-v8.log, (2263 ticks, 64 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     40  100.0%      LazyCompile: *Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:31
     36   90.0%        LazyCompile: *<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
     36  100.0%          LazyCompile: ~Module._compile module.js:510:37
     36  100.0%            LazyCompile: ~Module._extensions..js module.js:577:37
      4   10.0%        LazyCompile: ~Mexp.eval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:105:22
      4  100.0%          Function: ~<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
      4  100.0%            LazyCompile: ~Module._compile module.js:510:37
     36   47.4%    v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     36  100.0%      LazyCompile: *Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:31
     30   83.3%        LazyCompile: *<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
     30  100.0%          LazyCompile: ~Module._compile module.js:510:37
     30  100.0%            LazyCompile: ~Module._extensions..js module.js:577:37
      6   16.7%        LazyCompile: ~Mexp.eval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:105:22
      6  100.0%          Function: ~<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
      6  100.0%            LazyCompile: ~Module._compile module.js:510:37

     64    2.8%  UNKNOWN

     59    2.6%  /usr/bin/nodejs
     29   49.2%    v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     29  100.0%      LazyCompile: *Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:31
     26   89.7%        LazyCompile: *<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
     26  100.0%          LazyCompile: ~Module._compile module.js:510:37
     26  100.0%            LazyCompile: ~Module._extensions..js module.js:577:37
      3   10.3%        LazyCompile: ~Mexp.eval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:105:22
      3  100.0%          Function: ~<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
      3  100.0%            LazyCompile: ~Module._compile module.js:510:37
     20   33.9%    v8::internal::Runtime_KeyedGetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     20  100.0%      LazyCompile: *Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:31
     17   85.0%        LazyCompile: *<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
     17  100.0%          LazyCompile: ~Module._compile module.js:510:37
     17  100.0%            LazyCompile: ~Module._extensions..js module.js:577:37
      3   15.0%        LazyCompile: ~Mexp.eval /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:105:22
      3  100.0%          Function: ~<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
      3  100.0%            LazyCompile: ~Module._compile module.js:510:37
      4    6.8%    /usr/bin/nodejs
      1   25.0%      LazyCompile: ~lazyConstants internal/process.js:5:23
      1  100.0%        LazyCompile: ~isSignal internal/process.js:203:20
      1  100.0%          LazyCompile: ~<anonymous> internal/process.js:209:37
      1  100.0%            LazyCompile: ~emitTwo events.js:104:17
      1   25.0%      LazyCompile: ~fs.lstatSync fs.js:992:24
      1  100.0%        LazyCompile: ~realpathSync fs.js:1606:40
      1  100.0%          LazyCompile: ~toRealPath module.js:132:20
      1  100.0%            LazyCompile: ~Module._findPath module.js:151:28
      1   25.0%      LazyCompile: ~fs.closeSync fs.js:609:24
      1  100.0%        LazyCompile: ~fs.readFileSync fs.js:495:27
      1  100.0%          LazyCompile: ~Module._extensions..js module.js:577:37
      1  100.0%            LazyCompile: ~Module.load module.js:478:33
      1   25.0%      Function: ~<anonymous> buffer.js:1:11
      1  100.0%        LazyCompile: NativeModule.compile bootstrap_node.js:481:44
      1  100.0%          LazyCompile: ~NativeModule.require bootstrap_node.js:415:34
      1  100.0%            Function: ~<anonymous> util.js:1:11
      2    3.4%    v8::internal::Runtime_StringToNumber(int, v8::internal::Object**, v8::internal::Isolate*)
