v8-version,5,1,281,101,0
code-creation,Stub,3,0x3cbbd6729aa0,991,"NameDictionaryLookupStub"
code-creation,Stub,3,0x3cbbd6729e80,463,"FastNewContextStub"
code-creation,Handler,4,0x3cbbd672a060,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd672a0e0,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd672a1e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd672a260,2388,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd672abc0,1187,"FastNewContextStub"
code-creation,Stub,15,0x3cbbd672b080,447,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd672b240,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd672b2c0,224,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd672b3a0,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd672b420,972,"NameDictionaryLookupStub"
code-creation,Stub,3,0x3cbbd672b800,2205,"FastArrayPushStub"
code-creation,Stub,3,0x3cbbd672c0a0,2360,"RecordWriteStub"
code-creation,Handler,4,0x3cbbd672c9e0,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd672ca60,743,"FastNewContextStub"
tick,0x7f48cc5af6fd,22719,0,0x0,4
tick,0x7f48cc5af6fd,22753,0,0x0,4
code-creation,Handler,4,0x3cbbd672cd60,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd672ce60,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd672cee0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd672cf60,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd672d060,483,"FastNewObjectStub"
code-creation,Handler,4,0x3cbbd672d260,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd672d2e0,212,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd672d3c0,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd672d440,332,"BinaryOpICStub"
code-creation,Stub,16,0x3cbbd672d5a0,194,"CompareICStub"
code-creation,Stub,3,0x3cbbd672d680,391,"FastNewContextStub"
code-creation,Stub,3,0x3cbbd672d820,652,"TypeofStub"
code-creation,Stub,15,0x3cbbd672dac0,284,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd672dbe0,212,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd672dcc0,320,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd672de00,224,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd672dee0,151,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd672df80,224,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd672e060,276,"BinaryOpICStub"
code-creation,StoreIC,13,0x3cbbd672e180,528,"A store IC from the snapshot"
code-creation,Stub,15,0x3cbbd672e3a0,204,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd672e480,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd672e500,467,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd672e6e0,224,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd672e7c0,415,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd672e960,116,"StubFailureTrampolineStub"
code-creation,Stub,3,0x3cbbd672e9e0,475,"FastNewContextStub"
